日期,门店名称,门店id,省份,门店所在城市,区县市,营业收入,商品原价,包装费,顾客配送费（跑腿/自配送）,补贴及支出,商家活动支出,公益捐款,其它支出,优惠前总额,顾客实付,有效订单,实付单均价,活动补贴,平台活动补贴,平台服务费(含佣金和配送服务费),顾客实付（不含券）,实付单均价（不含券）,曝光人数,入店人数,入店转化率,下单转化率,曝光新客,入店新客,新客入店转化率,新客下单转化率,曝光老客,入店老客,老客入店转化率,老客下单转化率,曝光次数,入店次数,当日流量类型,7日流量类型,30日流量类型,下单人数,下单新客,下单老客,取消订单,商责取消订单,商责取消率,店铺分,高峰营业时长得分,优质商品率得分,有效活动丰富度得分,商家不接单率得分,差评回复率得分,在线联系回复率得分,商家评分得分,近30日日均高峰营业时长,优质商品率,有效活动丰富度,近30日商家不接单率,近30日差评回复率,近7日日均在线联系回复率,近30日日均商家评分,菜单丰富度得分,装修丰富度得分,服务功能丰富度得分,菜单丰富度,装修丰富度,服务功能丰富度,出餐完成上报率/配送准时率,基础营业时长得分,基础营业时长,出餐完成上报率得分/配送准时率得分,综合体验分,商品质量分,服务体验分,商品满意度,包装满意度,复购率指标得分,复购率,消息回复率指标得分,消息回复率,服务负反馈率指标得分,食品安全负反馈率指标得分,食品安全负反馈率
20260114,雪乡情东北菜（蛇口店）,12367677,广东省,深圳,南山区,7292.89,12113.50,426.00,0.00,5246.61,2640.93,2.01,471.05,12539.50,9668.87,201,48.10,4221.03,1580.10,2132.62,9412.47,46.83,9517,690,0.0725,0.2884,7130,398,0.0558,0.1482,2387,292,0.1223,0.4795,10370,709,高曝高转,高曝高转,高曝高转,199,59,140,7,0,0.0,96,90,95,0,100,100,0,92,6.8,95%,,--,100.0%,0%,4.6,100,100,100,分类数/菜品数/招牌菜,招牌/海报/老板推荐/进店必买,预订单/开发票/放心吃/准时宝,99.00%,100,8.3,100.00,4.6,4.4,5.0,4.6,4.7,3.9,0.2282,5.0,0.9946,5.0,4.6,10.82
20260112,雪乡情东北菜（塘朗店）,8583807,广东省,深圳,南山区,6809.21,11833.20,465.00,0.00,5488.99,2937.45,2.09,423.62,12298.20,9374.05,209,44.85,4332.05,1394.60,2125.83,9165.65,43.85,8113,695,0.0857,0.2935,5973,364,0.0609,0.1291,2140,331,0.1547,0.4743,9627,696,高曝高转,高曝高转,高曝高转,204,47,157,3,0,0.0,97,92,97,0,100,100,0,96,6.9,97%,,--,100.0%,0%,4.8,100,100,100,分类数/菜品数/招牌菜,招牌/海报/老板推荐/进店必买,预订单/开发票/放心吃/准时宝,98.00%,98,7.9,100.00,4.8,4.7,4.8,4.8,4.8,4.4,0.2792,4.9,0.9883,4.7,4.9,3.25
20260113,雪乡情东北菜馆(壹方天地店),15784451,广东省,深圳,龙华区,5017.21,8182.30,308.00,0.00,3473.09,1866.29,1.38,166.89,8490.30,6544.67,138,47.43,2787.29,921.00,1438.53,6513.67,47.20,5578,585,0.1049,0.2274,4098,344,0.0839,0.1221,1480,241,0.1628,0.3776,11105,818,高曝高转,高曝高转,高曝高转,133,42,91,4,0,0.0,94,94,88,0,100,92,0,86,7.1,88%,,--,92.9%,0%,4.3,100,100,100,分类数/菜品数/招牌菜,招牌/海报/老板推荐/热销/进店必买,预订单/开发票/放心吃/准时宝,99.00%,100,7.7,100.00,4.3,4.2,4.5,4.2,4.4,3.8,0.2156,4.9,0.9818,4.1,4.5,13.06
20260114,雪乡情东北菜（车公庙店）,10268419,广东省,深圳,福田区,5683.89,9286.20,372.00,0.00,3974.31,2143.39,1.65,272.90,9658.20,7160.91,165,43.40,3171.09,1027.70,1556.37,7132.91,43.23,7679,676,0.088,0.2352,5781,395,0.0683,0.1241,1898,281,0.1481,0.3915,12903,869,高曝高转,高曝高转,高曝高转,159,49,110,2,0,0.0,96,90,97,0,100,100,0,92,6.8,97%,,--,100.0%,0%,4.6,100,100,100,分类数/菜品数/招牌菜,招牌/海报/老板推荐/进店必买,预订单/开发票/放心吃/准时宝,98.00%,98,7.6,100.00,4.5,4.5,4.7,4.5,4.7,3.8,0.2182,4.4,0.923,5.0,5.0,1.35
20260114,雪乡情东北菜馆（皇庭广场店）,24557822,广东省,深圳,福田区,6209.42,10100.70,374.00,0.00,4265.28,2334.32,0.00,166.82,10474.70,7938.00,177,44.85,3714.02,1379.70,1764.14,7712.60,43.57,6825,685,0.1004,0.2482,5094,430,0.0844,0.1744,1731,255,0.1473,0.3725,14171,1022,高曝高转,高曝高转,高曝高转,170,75,95,3,0,0.0,96,94,89,0,100,100,0,92,7.1,89%,,--,100.0%,0%,4.6,100,100,100,分类数/菜品数/招牌菜,招牌/海报/老板推荐/热销/进店必买,预订单/开发票/放心吃/准时宝,97.00%,100,7.7,100.00,4.5,4.4,4.8,4.7,4.7,3.6,0.2051,4.9,0.9872,4.8,4.7,9.57
20260118,雪乡情东北菜（马家龙店）,10254693,广东省,深圳,南山区,8305.04,13452.40,481.00,0.00,5628.36,2987.14,2.02,318.22,13933.40,10620.36,202,52.58,4680.24,1693.10,2320.98,10496.16,51.96,11040,884,0.0801,0.2217,8862,587,0.0662,0.1329,2178,297,0.1364,0.3973,16000,1018,高曝高转,高曝高转,高曝高转,196,78,118,6,0,0.0,97,100,93,0,100,100,0,90,7.5,93%,,--,100.0%,0%,4.5,100,100,100,分类数/菜品数/招牌菜,招牌/海报/老板推荐/进店必买,预订单/开发票/放心吃/准时宝,100.00%,100,8.3,100.00,4.6,4.4,4.8,4.7,4.7,3.8,0.2195,4.7,0.9578,5.0,4.7,8.57
20260115,雪乡情东北菜（塘朗店）,8583807,广东省,深圳,南山区,5792.94,9761.40,383.00,0.00,4351.46,2395.04,1.80,214.31,10144.40,7635.26,180,42.42,3807.24,1412.20,1740.31,7409.86,41.17,7676,599,0.078,0.2955,5715,295,0.0516,0.1085,1961,304,0.155,0.477,9333,598,高曝高转,高曝高转,高曝高转,177,32,145,1,0,0.0,97,92,97,0,100,100,0,96,6.9,97%,,--,100.0%,0%,4.8,100,100,100,分类数/菜品数/招牌菜,招牌/海报/老板推荐/进店必买,预订单/开发票/放心吃/准时宝,98.00%,98,7.9,100.00,4.7,4.7,4.7,4.8,4.8,4.4,0.2768,4.9,0.9883,4.6,4.9,3.29
20260117,雪乡情东北菜馆（皇庭广场店）,24557822,广东省,深圳,福田区,7259.47,11612.00,399.00,0.00,4751.53,2609.95,0.00,171.10,12011.00,8908.25,169,52.71,4265.65,1655.70,1970.48,8751.45,51.78,6654,612,0.092,0.2598,5172,405,0.0783,0.1753,1482,207,0.1397,0.4251,14410,983,高曝高转,高曝高转,高曝高转,159,71,88,9,0,0.0,96,94,89,0,100,100,0,92,7.1,89%,,--,100.0%,0%,4.6,100,100,100,分类数/菜品数/招牌菜,招牌/海报/老板推荐/热销/进店必买,预订单/开发票/放心吃/准时宝,98.00%,100,7.7,100.00,4.5,4.4,4.8,4.7,4.7,3.7,0.2046,5.0,0.9914,4.6,4.7,8.0
20260113,雪乡情东北菜（塘朗店）,8583807,广东省,深圳,南山区,4888.15,8404.90,330.00,0.00,3846.75,2046.16,1.65,259.73,8734.90,6665.14,165,40.39,3239.06,1192.90,1539.21,6467.74,39.20,8183,730,0.0892,0.2137,6017,387,0.0643,0.1008,2166,343,0.1584,0.3411,9931,705,高曝高转,高曝高转,高曝高转,156,39,117,3,0,0.0,97,92,97,0,100,100,0,96,6.9,97%,,--,100.0%,0%,4.8,100,100,100,分类数/菜品数/招牌菜,招牌/海报/老板推荐/进店必买,预订单/开发票/放心吃/准时宝,98.00%,98,7.9,100.00,4.7,4.7,4.7,4.8,4.8,4.4,0.2756,4.9,0.9883,4.6,4.9,3.28
20260113,雪乡情铁锅炖（后海店）,8654929,广东省,深圳,南山区,115.68,281.90,6.00,0.00,172.22,120.69,0.00,14.88,287.90,154.51,6,25.75,154.79,34.10,36.65,154.51,25.75,759,67,0.0883,0.0896,714,58,0.0812,0.0862,45,9,0.2,0.1111,1109,73,低曝低转,低曝低转,低曝低转,6,5,1,0,0,0.0,74,29,95,0,100,100,0,76,2.2,95%,,--,100.0%,0%,3.8,100,100,60,分类数/菜品数/招牌菜,招牌/海报/老板推荐/进店必买,开发票/放心吃/准时宝,86.00%,0,3.5,95.56,3.8,3.9,3.5,3.8,3.8,3.0,0.1,3.9,0.8333,3.1,5.0,0.0
20260117,雪乡情东北菜（蛇口店）,12367677,广东省,深圳,南山区,8759.59,13866.70,433.00,0.00,5540.11,2677.45,2.02,417.43,14299.70,11186.05,202,55.38,4606.25,1928.80,2443.21,10784.25,53.39,11249,842,0.0749,0.2328,8646,538,0.0622,0.1245,2603,304,0.1168,0.4243,13877,910,高曝高转,高曝高转,高曝高转,196,67,129,8,0,0.0,96,90,95,0,100,100,0,92,6.8,95%,,--,100.0%,0%,4.6,100,100,100,分类数/菜品数/招牌菜,招牌/海报/老板推荐/进店必买,预订单/开发票/放心吃/准时宝,99.00%,98,8.3,100.00,4.6,4.4,5.0,4.6,4.7,3.9,0.2287,5.0,0.9948,5.0,4.6,11.09
20260115,雪乡情铁锅炖（后海店）,8654929,广东省,深圳,南山区,110.24,250.40,5.00,0.00,145.16,101.04,0.00,9.72,255.40,139.36,6,23.23,133.54,32.50,34.40,139.36,23.23,945,58,0.0614,0.0862,882,49,0.0556,0.0408,63,9,0.1429,0.3333,1649,67,低曝低转,低曝低转,低曝低转,5,2,3,0,0,0.0,75,29,95,0,100,100,0,76,2.2,95%,,--,100.0%,0%,3.8,100,100,60,分类数/菜品数/招牌菜,招牌/海报/老板推荐/进店必买,开发票/放心吃/准时宝,92.00%,0,3.6,100.00,3.8,3.9,3.6,3.8,3.8,3.0,0.0808,4.1,0.8571,3.1,5.0,0.0
20260112,雪乡情东北菜馆（梅林店）,19484981,广东省,深圳,福田区,5306.51,9002.10,333.00,0.00,4028.59,2216.23,0.00,243.90,9335.10,7149.05,148,48.30,3082.43,866.20,1568.46,7149.05,48.30,9716,706,0.0727,0.204,8135,481,0.0591,0.131,1581,225,0.1423,0.36,8687,647,高曝高转,高曝高转,高曝高转,144,63,81,3,0,0.0,95,92,95,0,100,87,0,94,6.9,95%,,--,87.5%,0%,4.7,100,100,100,分类数/菜品数/招牌菜,招牌/海报/老板推荐/热销/进店必买,预订单/开发票/放心吃/准时宝,93.00%,98,7.8,100.00,4.6,4.5,4.9,4.7,4.8,3.9,0.2234,5.0,1.0,4.9,4.8,7.35
20260112,雪乡情大地锅(信和广场店),13991691,广东省,深圳,南山区,2574.55,4980.30,59.00,0.00,2464.75,1513.69,0.00,93.13,5039.30,3452.21,113,30.55,2177.69,664.00,857.93,3452.21,30.55,4289,451,0.1052,0.2439,3361,276,0.0821,0.1304,928,175,0.1886,0.4229,9034,610,高曝高转,高曝高转,高曝高转,110,36,74,5,0,0.0,96,89,88,0,100,100,0,94,6.7,88%,,--,100.0%,0%,4.7,100,100,100,分类数/菜品数/招牌菜,招牌/海报/老板推荐/进店必买,预订单/开发票/放心吃/准时宝,99.00%,100,7.4,100.00,4.7,4.6,4.8,4.8,4.8,4.5,0.292,4.7,0.9655,5.0,4.3,17.16
20260117,雪乡情铁锅炖（后海店）,8654929,广东省,深圳,南山区,254.97,459.80,7.00,0.00,211.83,129.35,0.00,10.05,466.80,299.85,7,42.84,194.25,64.90,72.43,299.85,42.84,600,47,0.0783,0.1489,569,37,0.065,0.0541,31,10,0.3226,0.5,1027,74,低曝低转,低曝低转,低曝低转,7,2,5,0,0,0.0,75,29,95,0,100,100,0,76,2.2,95%,,--,100.0%,0%,3.8,100,100,60,分类数/菜品数/招牌菜,招牌/海报/老板推荐/进店必买,开发票/放心吃/准时宝,95.00%,0,3.5,100.00,3.9,3.9,3.6,3.8,3.8,3.1,0.1098,4.1,0.8571,3.2,5.0,0.0
20260118,雪乡情东北菜馆（梅林店）,19484981,广东省,深圳,福田区,6242.44,10169.10,335.00,0.00,4261.66,2378.27,0.00,148.71,10504.10,7891.63,153,51.58,3645.07,1266.80,1734.68,7778.43,50.84,6511,617,0.0948,0.2366,5078,410,0.0807,0.1512,1433,207,0.1445,0.4058,13856,886,高曝高转,高曝高转,高曝高转,146,62,84,4,0,0.0,94,92,95,0,100,75,0,94,6.9,95%,,--,75.0%,0%,4.7,100,100,100,分类数/菜品数/招牌菜,招牌/海报/老板推荐/热销/进店必买,预订单/开发票/放心吃/准时宝,96.00%,98,7.8,100.00,4.6,4.5,4.8,4.7,4.8,3.8,0.2119,5.0,1.0,4.7,4.9,4.84
20260118,雪乡情东北菜（车公庙店）,10268419,广东省,深圳,福田区,7694.19,12325.70,433.00,0.00,5064.51,2771.67,1.85,225.09,12758.70,9496.13,185,51.33,4174.07,1402.40,2065.90,9338.73,50.48,6740,687,0.1019,0.2591,5034,429,0.0852,0.1678,1706,258,0.1512,0.4109,15264,1006,高曝高转,高曝高转,高曝高转,178,72,106,4,0,0.0,96,90,97,0,100,100,0,92,6.8,97%,,--,100.0%,0%,4.6,100,100,100,分类数/菜品数/招牌菜,招牌/海报/老板推荐/进店必买,预订单/开发票/放心吃/准时宝,98.00%,100,7.7,100.00,4.6,4.5,4.7,4.6,4.7,3.8,0.2194,4.5,0.937,5.0,5.0,3.07
20260112,雪乡情东北菜（车公庙店）,10268419,广东省,深圳,福田区,6442.52,10697.00,389.00,0.00,4643.48,2549.37,1.69,313.61,11086.00,8219.23,169,48.63,3510.07,960.70,1778.81,8219.23,48.63,12540,895,0.0714,0.1844,10034,553,0.0551,0.0814,2506,342,0.1365,0.3509,12238,861,高曝高转,高曝高转,高曝高转,165,45,120,2,0,0.0,93,90,97,0,100,66,0,92,6.8,97%,,--,66.7%,0%,4.6,100,100,100,分类数/菜品数/招牌菜,招牌/海报/老板推荐/进店必买,预订单/开发票/放心吃/准时宝,98.00%,98,7.6,100.00,4.6,4.5,4.7,4.6,4.7,3.8,0.2214,4.4,0.9212,5.0,5.0,1.35
20260114,雪乡情东北菜（马家龙店）,10254693,广东省,深圳,南山区,4430.87,7703.50,287.00,0.00,3559.63,2000.89,1.50,209.23,7990.50,5867.81,150,39.12,3254.89,1254.00,1348.01,5652.61,37.68,6069,508,0.0837,0.2894,4404,263,0.0597,0.1369,1665,245,0.1471,0.4531,12642,741,高曝高转,高曝高转,高曝高转,147,36,111,3,0,0.0,97,100,93,0,100,100,0,90,7.5,93%,,--,100.0%,0%,4.5,100,100,100,分类数/菜品数/招牌菜,招牌/海报/老板推荐/进店必买,预订单/开发票/放心吃/准时宝,100.00%,100,8.3,100.00,4.6,4.5,4.8,4.7,4.7,3.8,0.2181,4.7,0.9588,5.0,4.8,6.7
20260118,雪乡情大地锅(信和广场店),13991691,广东省,深圳,南山区,3810.46,6851.70,87.00,0.00,3128.24,1868.93,0.00,101.09,6938.70,4708.27,135,34.88,2926.03,1057.10,1158.22,4708.27,34.88,4995,462,0.0925,0.29,3989,286,0.0717,0.1573,1006,176,0.175,0.5057,10830,715,高曝高转,高曝高转,高曝高转,134,45,89,3,1,0.0072,95,90,88,0,97,100,0,94,6.8,88%,,0.25%,100.0%,0%,4.7,100,100,100,分类数/菜品数/招牌菜,招牌/海报/老板推荐/进店必买,预订单/开发票/放心吃/准时宝,99.00%,100,7.4,100.00,4.7,4.6,4.9,4.8,4.8,4.4,0.2849,4.8,0.9772,5.0,4.4,17.07
20260115,雪乡情大地锅(信和广场店),13991691,广东省,深圳,南山区,2154.56,4133.90,55.00,0.00,2034.34,1244.89,0.00,87.61,4188.90,2749.61,100,27.50,1943.79,698.90,701.84,2749.61,27.50,4084,401,0.0982,0.2469,3137,213,0.0679,0.1455,947,188,0.1985,0.3617,8589,559,高曝高转,高曝高转,高曝高转,99,31,68,0,0,0.0,96,90,88,0,100,100,0,94,6.8,88%,,--,100.0%,0%,4.7,100,100,100,分类数/菜品数/招牌菜,招牌/海报/老板推荐/进店必买,预订单/开发票/放心吃/准时宝,99.00%,100,7.4,100.00,4.7,4.6,4.7,4.8,4.8,4.5,0.2949,4.7,0.9659,4.8,4.4,16.9
20260117,雪乡情东北菜（塘朗店）,8583807,广东省,深圳,南山区,8572.64,13885.40,510.00,0.00,5822.76,3138.32,2.08,213.56,14395.40,10826.08,208,52.05,5113.12,1974.80,2468.80,10594.88,50.94,8193,661,0.0807,0.2965,6369,385,0.0604,0.1688,1824,276,0.1513,0.4746,11432,771,高曝高转,高曝高转,高曝高转,196,65,131,7,0,0.0,97,92,97,0,100,100,0,96,6.9,97%,,--,100.0%,0%,4.8,100,100,100,分类数/菜品数/招牌菜,招牌/海报/老板推荐/进店必买,预订单/开发票/放心吃/准时宝,99.00%,98,7.9,100.00,4.8,4.7,4.7,4.8,4.8,4.4,0.2751,4.9,0.9883,4.6,5.0,1.65
20260115,雪乡情东北菜馆（梅林店）,19484981,广东省,深圳,福田区,5487.33,9002.50,312.00,0.00,3827.17,2124.64,0.00,183.63,9314.50,7090.24,146,48.56,3235.24,1110.60,1518.90,6982.04,47.82,6866,552,0.0804,0.2609,5484,345,0.0629,0.1855,1382,207,0.1498,0.3865,10068,647,高曝高转,高曝高转,高曝高转,144,64,80,1,0,0.0,95,92,95,0,100,87,0,94,6.9,95%,,--,87.5%,0%,4.7,100,100,100,分类数/菜品数/招牌菜,招牌/海报/老板推荐/热销/进店必买,预订单/开发票/放心吃/准时宝,95.00%,98,7.8,100.00,4.6,4.5,4.8,4.7,4.8,3.8,0.2157,5.0,1.0,4.7,4.9,4.85
20260115,雪乡情东北菜（车公庙店）,10268419,广东省,深圳,福田区,6961.25,10787.00,405.00,0.00,4230.75,2309.17,1.70,90.50,11192.00,8511.43,170,50.07,3479.77,1170.60,1829.38,8368.03,49.22,6701,642,0.0958,0.2586,4835,357,0.0738,0.1289,1866,285,0.1527,0.4211,12150,828,高曝高转,高曝高转,高曝高转,166,46,120,3,0,0.0,96,90,97,0,100,100,0,92,6.8,97%,,--,100.0%,0%,4.6,100,100,100,分类数/菜品数/招牌菜,招牌/海报/老板推荐/进店必买,预订单/开发票/放心吃/准时宝,98.00%,98,7.6,100.00,4.6,4.5,4.7,4.6,4.7,3.8,0.2204,4.5,0.9312,5.0,5.0,3.06
20260115,雪乡情东北菜馆(壹方天地店),15784451,广东省,深圳,龙华区,4303.83,7131.80,258.00,0.00,3085.97,1649.91,1.14,165.09,7389.80,5696.25,114,49.97,2477.81,827.90,1269.83,5696.25,49.97,5356,548,0.1023,0.2007,3923,336,0.0856,0.1161,1433,212,0.1479,0.3349,10106,752,高曝高转,高曝高转,高曝高转,110,39,71,4,0,0.0,94,94,88,0,100,92,0,86,7.1,88%,,--,92.9%,0%,4.3,100,100,100,分类数/菜品数/招牌菜,招牌/海报/老板推荐/热销/进店必买,预订单/开发票/放心吃/准时宝,98.00%,100,7.7,100.00,4.3,4.2,4.4,4.2,4.4,3.8,0.2149,4.8,0.981,4.1,4.6,11.45
20260112,雪乡情东北菜馆(壹方天地店),15784451,广东省,深圳,龙华区,5307.29,8561.10,310.00,0.00,3563.81,1886.97,1.25,175.09,8871.10,7033.75,125,56.27,2719.27,832.30,1500.50,6988.55,55.91,5248,561,0.1069,0.2175,3761,308,0.0819,0.1201,1487,253,0.1701,0.336,10383,805,高曝高转,高曝高转,高曝高转,122,37,85,4,0,0.0,94,94,88,0,100,92,0,86,7.1,88%,,--,92.9%,0%,4.3,100,100,100,分类数/菜品数/招牌菜,招牌/海报/老板推荐/热销/进店必买,预订单/开发票/放心吃/准时宝,99.00%,100,7.7,100.00,4.3,4.2,4.3,4.2,4.4,3.8,0.2158,4.8,0.9784,3.9,4.6,11.35
20260115,雪乡情东北菜（蛇口店）,12367677,广东省,深圳,南山区,6484.48,10334.10,358.00,0.00,4207.62,2218.13,1.65,168.09,10692.10,8258.15,165,50.05,3371.73,1153.60,1819.75,8213.15,49.78,9054,628,0.0694,0.2532,6730,359,0.0533,0.1114,2324,269,0.1157,0.4424,10118,627,高曝高转,高曝高转,高曝高转,159,40,119,3,0,0.0,96,90,95,0,100,100,0,92,6.8,95%,,--,100.0%,0%,4.6,100,100,100,分类数/菜品数/招牌菜,招牌/海报/老板推荐/进店必买,预订单/开发票/放心吃/准时宝,99.00%,100,8.3,100.00,4.6,4.4,5.0,4.6,4.7,3.9,0.2279,5.0,0.9945,5.0,4.6,11.0
20260112,雪乡情东北菜（蛇口店）,12367677,广东省,深圳,南山区,6912.64,11302.60,389.00,0.00,4778.96,2447.04,1.76,373.90,11691.60,9315.66,176,52.93,3662.14,1215.10,1956.26,9045.66,51.40,7241,622,0.0859,0.2749,5081,321,0.0632,0.1308,2160,301,0.1394,0.4286,9808,744,高曝高转,高曝高转,高曝高转,171,42,129,4,0,0.0,96,90,95,0,100,100,0,92,6.8,95%,,--,100.0%,0%,4.6,100,100,100,分类数/菜品数/招牌菜,招牌/海报/老板推荐/进店必买,预订单/开发票/放心吃/准时宝,99.00%,98,8.3,100.00,4.6,4.4,5.0,4.6,4.7,4.0,0.2333,5.0,0.9949,5.0,4.6,12.18
20260114,雪乡情东北菜馆（梅林店）,19484981,广东省,深圳,福田区,4271.75,7201.90,265.00,0.00,3195.15,1790.17,0.00,192.13,7466.90,5536.93,127,43.60,2754.87,964.70,1212.85,5434.93,42.79,8057,566,0.0702,0.2155,6679,388,0.0581,0.1392,1378,178,0.1292,0.382,9686,609,高曝高转,高曝高转,高曝高转,122,54,68,2,0,0.0,95,92,95,0,100,87,0,94,6.9,95%,,--,87.5%,0%,4.7,100,100,100,分类数/菜品数/招牌菜,招牌/海报/老板推荐/热销/进店必买,预订单/开发票/放心吃/准时宝,94.00%,98,7.8,100.00,4.6,4.5,4.8,4.7,4.8,3.8,0.2175,5.0,1.0,4.7,4.9,4.83
20260113,雪乡情大地锅(信和广场店),13991691,广东省,深圳,南山区,3005.55,5452.40,77.00,0.00,2523.85,1483.36,0.00,95.75,5529.40,3870.14,121,31.98,2263.76,780.40,944.74,3870.14,31.98,4482,451,0.1006,0.2661,3561,271,0.0761,0.1476,921,180,0.1954,0.4444,9336,626,高曝高转,高曝高转,高曝高转,120,40,80,3,0,0.0,96,89,88,0,100,100,0,94,6.7,88%,,--,100.0%,0%,4.7,100,100,100,分类数/菜品数/招牌菜,招牌/海报/老板推荐/进店必买,预订单/开发票/放心吃/准时宝,99.00%,100,7.4,100.00,4.7,4.6,4.7,4.8,4.8,4.5,0.289,4.7,0.9662,4.8,4.4,16.91
20260112,雪乡情东北菜馆（皇庭广场店）,24557822,广东省,深圳,福田区,5641.00,10016.40,366.00,0.00,4741.40,2950.70,0.00,169.53,10382.40,7271.80,186,39.10,4360.90,1410.20,1621.17,6985.20,37.55,6450,657,0.1019,0.2694,4712,384,0.0815,0.1589,1738,273,0.1571,0.4249,13229,961,高曝高转,高曝高转,高曝高转,177,61,116,3,0,0.0,96,94,89,0,100,100,0,92,7.1,89%,,--,100.0%,0%,4.6,100,100,100,分类数/菜品数/招牌菜,招牌/海报/老板推荐/热销/进店必买,预订单/开发票/放心吃/准时宝,98.00%,100,7.7,100.00,4.5,4.4,4.9,4.6,4.7,3.7,0.2079,4.9,0.983,4.9,4.7,9.4
20260118,雪乡情铁锅炖（后海店）,8654929,广东省,深圳,南山区,22.11,59.00,1.00,0.00,37.89,28.42,0.00,2.91,60.00,26.78,1,26.78,37.92,9.50,6.56,26.78,26.78,562,34,0.0605,0.0294,523,27,0.0516,0.037,39,7,0.1795,0.0,958,46,低曝低转,低曝低转,低曝低转,1,1,0,0,0,0.0,75,30,95,0,100,100,0,76,2.3,95%,,--,100.0%,0%,3.8,100,100,60,分类数/菜品数/招牌菜,招牌/海报/老板推荐/进店必买,开发票/放心吃/准时宝,95.00%,0,3.6,100.00,3.8,3.9,3.5,3.8,3.8,3.1,0.1195,3.9,0.8333,3.1,5.0,0.0
20260114,雪乡情东北菜（登良店）,517971,广东省,深圳,南山区,6220.82,8929.40,328.00,0.00,3036.58,1328.91,1.29,101.68,9257.40,8269.98,129,64.11,1845.51,516.60,1604.70,8182.38,63.43,3983,454,0.114,0.2819,2746,255,0.0929,0.1098,1237,199,0.1609,0.5025,7485,611,高曝高转,高曝高转,高曝高转,128,28,100,1,0,0.0,92,92,96,0,100,90,0,94,6.9,96%,,--,90.0%,0%,4.7,100,100,60,分类数/菜品数/招牌菜,招牌/海报/老板推荐/进店必买,开发票/放心吃/准时宝,98.00%,98,8.4,100.00,4.7,4.6,4.8,4.7,4.8,4.2,0.2108,4.6,0.9435,5.0,4.9,4.07
20260112,雪乡情东北菜（登良店）,517971,广东省,深圳,南山区,8863.11,13636.70,533.00,0.00,5306.59,2344.61,1.99,507.82,14169.70,12375.49,199,62.19,2860.61,516.00,2452.17,12351.29,62.07,12370,940,0.076,0.2085,9875,631,0.0639,0.1125,2495,309,0.1238,0.4045,6276,596,高曝低转,高曝高转,高曝高转,196,71,125,7,0,0.0,90,92,96,0,100,75,0,94,6.9,96%,,--,75.0%,0%,4.7,100,100,60,分类数/菜品数/招牌菜,招牌/海报/老板推荐/进店必买,开发票/放心吃/准时宝,98.00%,98,8.4,100.00,4.7,4.6,4.8,4.7,4.8,4.3,0.2189,4.7,0.9655,5.0,4.9,4.09
20260117,雪乡情东北菜（车公庙店）,10268419,广东省,深圳,福田区,9664.72,15135.90,510.00,0.00,5981.18,3206.76,2.08,226.57,15645.90,11711.84,208,56.31,4976.56,1769.80,2545.77,11527.44,55.42,7444,710,0.0954,0.2831,5730,451,0.0787,0.1685,1714,259,0.1511,0.4826,15462,1048,高曝高转,高曝高转,高曝高转,201,76,125,2,0,0.0,96,90,97,0,100,100,0,92,6.8,97%,,--,100.0%,0%,4.6,100,100,100,分类数/菜品数/招牌菜,招牌/海报/老板推荐/进店必买,预订单/开发票/放心吃/准时宝,98.00%,98,7.6,100.00,4.6,4.5,4.7,4.6,4.7,3.8,0.2195,4.5,0.9398,5.0,5.0,3.08
20260116,雪乡情东北菜馆（皇庭广场店）,24557822,广东省,深圳,福田区,7320.94,12102.50,429.00,0.00,5210.56,2993.24,0.00,202.18,12531.50,9203.40,198,46.48,4559.54,1566.30,2015.14,9075.40,45.84,7511,676,0.09,0.284,5707,426,0.0746,0.1596,1804,250,0.1386,0.496,15936,1031,高曝高转,高曝高转,高曝高转,192,68,124,7,0,0.0,96,94,89,0,100,100,0,92,7.1,89%,,--,100.0%,0%,4.6,100,100,100,分类数/菜品数/招牌菜,招牌/海报/老板推荐/热销/进店必买,预订单/开发票/放心吃/准时宝,98.00%,100,7.7,100.00,4.5,4.4,4.8,4.7,4.7,3.7,0.2069,5.0,0.9914,4.6,4.7,8.0
20260115,雪乡情东北菜（马家龙店）,10254693,广东省,深圳,南山区,4903.72,8637.00,324.00,0.00,4057.28,2224.98,1.64,335.26,8961.00,6563.92,164,40.02,3579.08,1354.10,1495.40,6372.12,38.85,9742,677,0.0695,0.2349,7518,399,0.0531,0.1128,2224,278,0.125,0.4101,11625,785,高曝高转,高曝高转,高曝高转,159,45,114,2,0,0.0,97,100,93,0,100,100,0,90,7.5,93%,,--,100.0%,0%,4.5,100,100,100,分类数/菜品数/招牌菜,招牌/海报/老板推荐/进店必买,预订单/开发票/放心吃/准时宝,100.00%,100,8.3,100.00,4.6,4.5,4.8,4.7,4.7,3.8,0.2204,4.7,0.9597,5.0,4.8,6.81
