日期,门店名称,门店id,省份,门店所在城市,区县市,营业收入,商品原价,包装费,顾客配送费（跑腿/自配送）,补贴及支出,商家活动支出,公益捐款,其它支出,优惠前总额,顾客实付,有效订单,实付单均价,活动补贴,平台活动补贴,平台服务费(含佣金和配送服务费),顾客实付（不含券）,实付单均价（不含券）,曝光人数,入店人数,入店转化率,下单转化率,曝光新客,入店新客,新客入店转化率,新客下单转化率,曝光老客,入店老客,老客入店转化率,老客下单转化率,曝光次数,入店次数,当日流量类型,7日流量类型,30日流量类型,下单人数,下单新客,下单老客,取消订单,商责取消订单,商责取消率,店铺分,高峰营业时长得分,优质商品率得分,有效活动丰富度得分,商家不接单率得分,差评回复率得分,在线联系回复率得分,商家评分得分,近30日日均高峰营业时长,优质商品率,有效活动丰富度,近30日商家不接单率,近30日差评回复率,近7日日均在线联系回复率,近30日日均商家评分,菜单丰富度得分,装修丰富度得分,服务功能丰富度得分,菜单丰富度,装修丰富度,服务功能丰富度,出餐完成上报率/配送准时率,基础营业时长得分,基础营业时长,出餐完成上报率得分/配送准时率得分,综合体验分,商品质量分,服务体验分,商品满意度,包装满意度,复购率指标得分,复购率,消息回复率指标得分,消息回复率,服务负反馈率指标得分,食品安全负反馈率指标得分,食品安全负反馈率
20260113,雪乡情东北菜（车公庙店）,10268419,广东省,深圳,福田区,5389.29,8884.30,331.00,0.00,3826.01,2176.55,1.56,158.66,9215.30,6664.25,156,42.72,3215.65,1039.10,1489.24,6569.05,42.11,5937,653,0.11,0.2266,4205,352,0.0837,0.1136,1732,301,0.1738,0.3588,12810,919,高曝高转,高曝高转,高曝高转,148,40,108,6,0,0.0,96,90,97,0,100,100,0,92,6.8,97%,,--,100.0%,0%,4.6,100,100,100,分类数/菜品数/招牌菜,招牌/海报/老板推荐/进店必买,预订单/开发票/放心吃/准时宝,98.00%,98,7.6,100.00,4.6,4.5,4.7,4.6,4.7,3.8,0.2174,4.4,0.923,5.0,5.0,1.35
20260116,雪乡情东北菜（马家龙店）,10254693,广东省,深圳,南山区,6112.03,10516.30,376.00,0.00,4780.27,2718.29,1.74,313.02,10892.30,7871.31,174,45.24,4264.19,1545.90,1747.22,7676.11,44.12,9021,735,0.0815,0.2299,6979,450,0.0645,0.1111,2042,285,0.1396,0.4175,13143,848,高曝高转,高曝高转,高曝高转,169,50,119,3,0,0.0,97,100,93,0,100,100,0,90,7.5,93%,,--,100.0%,0%,4.5,100,100,100,分类数/菜品数/招牌菜,招牌/海报/老板推荐/进店必买,预订单/开发票/放心吃/准时宝,100.00%,100,8.3,100.00,4.6,4.5,4.8,4.7,4.7,3.9,0.2232,4.7,0.9593,5.0,4.8,6.89
20260113,雪乡情东北菜馆（梅林店）,19484981,广东省,深圳,福田区,5380.72,8824.30,323.00,0.00,3766.58,1880.03,0.00,349.94,9147.30,7144.77,141,50.67,2849.83,969.80,1536.61,7113.97,50.45,10408,679,0.0652,0.2047,8806,463,0.0526,0.1404,1602,216,0.1348,0.3426,9054,623,高曝高转,高曝高转,高曝高转,139,65,74,3,0,0.0,95,92,95,0,100,87,0,94,6.9,95%,,--,87.5%,0%,4.7,100,100,100,分类数/菜品数/招牌菜,招牌/海报/老板推荐/热销/进店必买,预订单/开发票/放心吃/准时宝,93.00%,98,7.8,100.00,4.6,4.5,4.9,4.7,4.8,3.8,0.2192,5.0,1.0,4.9,4.8,7.27
20260114,雪乡情东北菜（塘朗店）,8583807,广东省,深圳,南山区,5106.86,8990.20,371.00,0.00,4254.34,2303.35,1.81,350.51,9361.20,6876.25,181,37.99,3611.15,1307.80,1598.67,6741.25,37.24,8877,702,0.0791,0.2479,6717,394,0.0587,0.1345,2160,308,0.1426,0.3929,9157,613,高曝高转,高曝高转,高曝高转,174,53,121,5,0,0.0,97,92,97,0,100,100,0,96,6.9,97%,,--,100.0%,0%,4.8,100,100,100,分类数/菜品数/招牌菜,招牌/海报/老板推荐/进店必买,预订单/开发票/放心吃/准时宝,98.00%,98,7.9,100.00,4.7,4.7,4.7,4.8,4.8,4.4,0.278,4.9,0.9883,4.6,4.9,3.29
20260116,雪乡情铁锅炖（后海店）,8654929,广东省,深圳,南山区,98.53,244.60,5.00,0.00,151.07,108.48,0.00,11.97,249.60,115.62,5,23.12,151.48,43.00,30.62,115.62,23.12,1250,65,0.052,0.0769,1184,56,0.0473,0.0536,66,9,0.1364,0.2222,2130,125,低曝低转,低曝低转,低曝低转,5,3,2,0,0,0.0,75,30,95,0,100,100,0,76,2.3,95%,,--,100.0%,0%,3.8,100,100,60,分类数/菜品数/招牌菜,招牌/海报/老板推荐/进店必买,开发票/放心吃/准时宝,97.00%,0,3.6,100.00,3.9,3.9,3.6,3.8,3.8,3.0,0.0967,4.1,0.8571,3.2,5.0,0.0
20260117,雪乡情东北菜（登良店）,517971,广东省,深圳,南山区,8048.94,11806.40,407.00,0.00,4164.46,2047.54,1.53,60.59,12213.40,10212.56,153,66.75,2889.94,842.40,2054.80,10121.36,66.15,5268,598,0.1135,0.2492,3867,372,0.0962,0.1183,1401,226,0.1613,0.4646,9193,835,高曝高转,高曝高转,高曝高转,149,44,105,6,0,0.0,90,90,96,0,99,80,0,94,6.8,96%,,0.09%,80.0%,0%,4.7,100,100,60,分类数/菜品数/招牌菜,招牌/海报/老板推荐/进店必买,开发票/放心吃/准时宝,99.00%,98,8.4,100.00,4.7,4.7,4.7,4.7,4.8,4.2,0.211,4.5,0.9322,5.0,5.0,2.26
20260113,雪乡情东北菜馆（皇庭广场店）,24557822,广东省,深圳,福田区,6188.16,10076.50,381.00,0.00,4269.34,2454.19,0.00,165.89,10457.50,7840.65,175,44.80,3766.39,1312.20,1649.26,7660.45,43.77,6736,616,0.0914,0.2695,5000,372,0.0744,0.164,1736,244,0.1406,0.4303,13890,901,高曝高转,高曝高转,高曝高转,166,61,105,8,0,0.0,96,94,89,0,100,100,0,92,7.1,89%,,--,100.0%,0%,4.6,100,100,100,分类数/菜品数/招牌菜,招牌/海报/老板推荐/热销/进店必买,预订单/开发票/放心吃/准时宝,97.00%,100,7.7,100.00,4.5,4.4,4.9,4.7,4.7,3.6,0.2045,4.9,0.9872,4.9,4.7,9.52
20260118,雪乡情东北菜（登良店）,517971,广东省,深圳,南山区,8890.73,13191.80,448.00,0.00,4749.07,2295.97,1.82,89.44,13639.80,11455.76,182,62.94,3232.67,936.70,2361.84,11371.96,62.48,6718,725,0.1079,0.2483,5036,445,0.0884,0.1079,1682,280,0.1665,0.4714,10951,991,高曝高转,高曝高转,高曝高转,180,48,132,4,0,0.0,91,90,96,0,99,83,0,94,6.8,96%,,0.09%,83.3%,0%,4.7,100,100,60,分类数/菜品数/招牌菜,招牌/海报/老板推荐/进店必买,开发票/放心吃/准时宝,99.00%,98,8.4,100.00,4.7,4.7,4.7,4.8,4.8,4.2,0.2108,4.4,0.923,5.0,5.0,2.26
20260116,雪乡情东北菜（登良店）,517971,广东省,深圳,南山区,5859.14,8800.90,313.00,0.00,3254.76,1566.40,1.19,120.58,9113.90,7520.60,119,63.20,2226.90,660.50,1566.59,7520.60,63.20,4488,482,0.1074,0.2365,3179,283,0.089,0.0954,1309,199,0.152,0.4372,7650,655,高曝高转,高曝高转,高曝高转,114,27,87,5,0,0.0,91,92,96,0,99,81,0,94,6.9,96%,,0.09%,81.8%,0%,4.7,100,100,60,分类数/菜品数/招牌菜,招牌/海报/老板推荐/进店必买,开发票/放心吃/准时宝,98.00%,98,8.4,100.00,4.7,4.7,4.7,4.7,4.8,4.2,0.2091,4.5,0.9333,5.0,5.0,2.26
20260118,雪乡情东北菜（塘朗店）,8583807,广东省,深圳,南山区,7205.16,12277.20,413.00,0.00,5485.04,3147.25,1.94,240.06,12690.20,9240.66,194,47.63,4926.64,1779.39,2095.79,8907.06,45.91,5231,542,0.1036,0.3339,3853,286,0.0742,0.1748,1378,256,0.1858,0.5117,11844,812,高曝高转,高曝高转,高曝高转,181,50,131,5,0,0.0,97,92,97,0,100,100,0,96,6.9,97%,,--,100.0%,0%,4.8,100,100,100,分类数/菜品数/招牌菜,招牌/海报/老板推荐/进店必买,预订单/开发票/放心吃/准时宝,99.00%,98,7.9,100.00,4.8,4.7,4.7,4.8,4.8,4.4,0.2732,4.9,0.988,4.6,5.0,1.66
